주소,경도,위도
서울특별시 강남구 대치동 역삼로74길 8,127.0550051,37.5013887
서울특별시 강남구 대치동 역삼로 436,127.0548134,37.5016108
서울특별시 강남구 대치동 삼성로64길 40,127.0638467,37.5005522
서울특별시 강남구 대치동 삼성로64길 36,127.0633936,37.5004057
서울특별시 강남구 대치동 삼성로 150,127.0673501,37.4933928
서울특별시 강남구 대치동 삼성로61길 9,127.0597381,37.4991815
서울특별시 강남구 대치동 도곡로73길 18,127.057111,37.4989901
서울특별시 강남구 대치동 삼성로63길 37,127.0572874,37.4990504
서울특별시 강남구 대치동 영동대로57길 28,127.0652973,37.4998959
서울특별시 강남구 대치동 삼성로85길 33,127.0548091,37.5043014
서울특별시 강남구 대치동 영동대로85길 17-9,127.0625225,37.5064326
서울특별시 강남구 도곡동 강남대로 240,127.0344036,37.4853089
서울특별시 강남구 도곡동 논현로 209,127.0452757,37.4885906
서울특별시 강남구 도곡동 논현로41길 10,127.0398893,37.4865446
서울특별시 강남구 도곡동 언주로30길 13,127.0510778,37.4881202
서울특별시 강남구 도곡동 강남대로 256,127.0335278,37.4864768
서울특별시 강남구 도곡동 도곡로28길 8,127.0432091,37.4921212
서울특별시 강남구 도곡동 도곡로14길 28,127.0371021,37.489181
서울특별시 강남구 도곡동 도곡로14길 21,127.0378102,37.4898439
서울특별시 강남구 도곡동 도곡로14길 27,127.037773,37.4891876
서울특별시 강남구 도곡동 강남대로44길 24,127.0358263,37.4861404
서울특별시 강남구 도곡동 남부순환로 2615,127.0357571,37.4851442
서울특별시 강남구 도곡동 남부순환로373길 3,127.043601,37.486364
서울특별시 강남구 도곡동 남부순환로373길 9,127.0436418,37.4868081
서울특별시 강남구 도곡동 강남대로54길 6,127.0331431,37.4880447
서울특별시 강남구 도곡동 강남대로 272,127.0329083,37.4877745
서울특별시 강남구 도곡동 남부순환로363길 9-6,127.037565,37.4859296
서울특별시 강남구 도곡동 남부순환로377길 18,127.0456075,37.4875238
서울특별시 강남구 도곡동 남부순환로 2740,127.0462778,37.4861675
서울특별시 강남구 도곡동 논현로 213,127.0452757,37.4885906
서울특별시 강남구 도곡동 언주로 203,127.0487862,37.4891534
서울특별시 강남구 삼성동 테헤란로77길 26,127.0540538,37.5084999
서울특별시 강남구 삼성동 삼성로 629,127.0511348,37.5153979
서울특별시 강남구 삼성동 학동로68길 30,127.0462275,37.5159911
서울특별시 강남구 삼성동 삼성로99길 14,127.053837,37.5092334
서울특별시 강남구 세곡동 헌릉로590길 63,127.1011856,37.4602882
서울특별시 강남구 세곡동 헌릉로590길 100,127.1005027,37.4642292
서울특별시 강남구 세곡동 헌릉로590길 10,127.1027546,37.4641688
서울특별시 강남구 세곡동 헌릉로571길 20,127.1028698,37.4667904
서울특별시 강남구 세곡동 자곡로 21,127.0929671,37.4667789
서울특별시 강남구 수서동 광평로34길 55,127.0908145,37.4809954
서울특별시 강남구 수서동 광평로51길 22,127.1035761,37.4894697
서울특별시 강남구 신사동 압구정로50길 28,127.0372381,37.5269771
서울특별시 강남구 신사동 압구정로42길 78,127.0337065,37.5237758
서울특별시 강남구 역삼동 도곡로43길 20,127.0481475,37.4964997
서울특별시 강남구 역삼동 도곡로43길 21,127.0472447,37.4951647
서울특별시 강남구 역삼동 도곡로 306,127.0479424,37.4941847
서울특별시 강남구 역삼동 도곡로13길 19,127.035776,37.4923088
서울특별시 강남구 도곡동 도곡로14길 12,127.0367166,37.4902458
서울특별시 강남구 도곡동 남부순환로375길 6,127.0445958,37.4866823
서울특별시 강남구 도곡동 남부순환로379길 14,127.0463247,37.4886292
서울특별시 강남구 도곡동 남부순환로 2803,127.0506508,37.4897783
서울특별시 강남구 도곡동 논현로 218,127.0452757,37.4885906
서울특별시 강남구 도곡동 도곡로 242,127.0460174,37.4935694
서울특별시 강남구 도곡동 언주로30길 21,127.0521024,37.4886722
서울특별시 강남구 도곡동 언주로 117,127.0494737,37.4854423
서울특별시 강남구 도곡동 언주로30길 27,127.0525603,37.488445
서울특별시 강남구 도곡동 언주로29길 34,127.0475814,37.4859698
서울특별시 강남구 도곡동 언주로 118,127.0518831,37.4865165
서울특별시 강남구 도곡동 언주로 122,127.0510531,37.4870802
서울특별시 강남구 도곡동 남부순환로381길 25,127.0467714,37.4877182
서울특별시 강남구 도곡동 남부순환로351길 23,127.0340308,37.4862396
서울특별시 강남구 도곡동 남부순환로373길 14,127.0439282,37.4869276
서울특별시 강남구 도곡동 강남대로48길 24,127.0351163,37.4870139
서울특별시 강남구 도곡동 남부순환로365길 5,127.0389343,37.485916
서울특별시 강남구 도곡동 언주로30길 56,127.0544393,37.4882228
서울특별시 강남구 도곡동 언주로30길 57,127.0544907,37.4897104
서울특별시 강남구 도곡동 언주로30길 26,127.0528298,37.4873359
서울특별시 강남구 도곡동 남부순환로381길 15,127.0476124,37.4879085
서울특별시 강남구 도곡동 도곡로4길 31,127.0350997,37.4887627
서울특별시 강남구 도곡동 남부순환로365길 33,127.0391781,37.4877354
서울특별시 강남구 도곡동 언주로 123,127.0488972,37.4868895
서울특별시 강남구 도곡동 논현로 205,127.0452757,37.4885906
서울특별시 강남구 도곡동 논현로51길 25,127.039369,37.4888167
서울특별시 강남구 도곡동 언주로30길 10,127.0513255,37.4873616
서울특별시 강남구 도곡동 도곡로6길 14,127.0341585,37.4892911
서울특별시 강남구 도곡동 도곡로18길 34,127.0380175,37.4889631
서울특별시 강남구 도곡동 도곡로18길 35,127.0390241,37.4893104
서울특별시 강남구 도곡동 남부순환로377길 25,127.0445679,37.4876331
서울특별시 강남구 도곡동 남부순환로377길 26,127.0450268,37.4881246
서울특별시 강남구 삼성동 선릉로100길 42,127.0508536,37.5065578
서울특별시 강남구 삼성동 테헤란로63길 12,127.0509289,37.506168
서울특별시 강남구 삼성동 봉은사로113길 25,127.065529,37.5170635
서울특별시 강남구 삼성동 학동로68길 16,127.0464382,37.5169778
서울특별시 강남구 삼성동 봉은사로57길 17,127.044707,37.511855
서울특별시 강남구 삼성동 영동대로128길 55,127.0616936,37.5189533
서울특별시 강남구 삼성동 영동대로114길 71-3,127.0645716,37.5181296
서울특별시 강남구 삼성동 영동대로118길 76,127.0643055,37.5182866
서울특별시 강남구 삼성동 봉은사로55길 36,127.0440149,37.512864
서울특별시 강남구 삼성동 영동대로112길 24,127.062263,37.51517
서울특별시 강남구 삼성동 영동대로112길 67,127.0657708,37.5162493
서울특별시 강남구 삼성동 영동대로114길 56,127.063973,37.5171344
서울특별시 강남구 삼성동 선릉로130길 20,127.0434365,37.5161513
서울특별시 강남구 삼성동 선릉로126길 22,127.0447446,37.5152737
서울특별시 강남구 삼성동 영동대로 602,127.0604126,37.5148855
서울특별시 강남구 삼성동 봉은사로 516,127.0559719,37.5132359
서울특별시 강남구 삼성동 영동대로114길 63,127.0641402,37.517856
서울특별시 강남구 삼성동 봉은사로111길 26,127.0651395,37.516994
서울특별시 강남구 삼성동 봉은사로111길 34,127.0648651,37.5174375
서울특별시 강남구 삼성동 선릉로108길 33,127.0470289,37.5104955
서울특별시 강남구 삼성동 봉은사로71길 19,127.0495372,37.5134619
서울특별시 강남구 삼성동 봉은사로 645,127.0657575,37.5155618
서울특별시 강남구 삼성동 학동로 432,127.0486776,37.5177635
서울특별시 강남구 삼성동 선릉로112길 53,127.0477965,37.5131207
서울특별시 강남구 삼성동 선릉로 660,127.0423675,37.5155551
서울특별시 강남구 삼성동 삼성로103길 12,127.053406,37.5103886
서울특별시 강남구 삼성동 봉은사로 448,127.0488389,37.5114528
서울특별시 강남구 삼성동 학동로 410,127.0443789,37.5174837
서울특별시 강남구 삼성동 봉은사로109길 14-8,127.0649994,37.516372
서울특별시 강남구 삼성동 학동로64길 7,127.0455038,37.5173885
서울특별시 강남구 삼성동 영동대로128길 45,127.0610352,37.5194438
서울특별시 강남구 삼성동 학동로68길 29,127.0484473,37.5163059
서울특별시 강남구 삼성동 학동로82길 6,127.0511296,37.5185293
서울특별시 강남구 삼성동 봉은사로63길 47,127.0458109,37.5143372
서울특별시 강남구 삼성동 테헤란로79길 31,127.054425,37.508806
서울특별시 강남구 삼성동 봉은사로105길 12-7,127.0622076,37.5161478
서울특별시 강남구 삼성동 삼성로 649,127.0561274,37.513975
서울특별시 강남구 삼성동 선릉로130길 19,127.0427453,37.5170294
서울특별시 강남구 삼성동 학동로 412,127.0448485,37.5174478
서울특별시 강남구 삼성동 삼성로120길 21,127.0528686,37.5174333
서울특별시 강남구 삼성동 봉은사로109길 66-1,127.0639438,37.5190073
서울특별시 강남구 삼성동 봉은사로113길 33,127.0653373,37.5173702
서울특별시 강남구 삼성동 봉은사로 474,127.0518299,37.5123174
서울특별시 강남구 삼성동 영동대로 640,127.05934,37.5182869
서울특별시 강남구 삼성동 영동대로114길 72,127.0646733,37.5178473
서울특별시 강남구 삼성동 봉은사로72길 33,127.0523368,37.5103823
서울특별시 강남구 삼성동 봉은사로81길 8,127.0541145,37.5138183
서울특별시 강남구 삼성동 테헤란로77길 27,127.0538321,37.5081466
서울특별시 강남구 삼성동 학동로88길 5,127.0536358,37.5187966
서울특별시 강남구 삼성동 삼성로 517,127.0553957,37.5080135
서울특별시 강남구 삼성동 영동대로128길 5,127.0583634,37.5197767
서울특별시 강남구 삼성동 학동로 420,127.0460807,37.5177938
서울특별시 강남구 삼성동 테헤란로77길 22,127.0543072,37.5080249
서울특별시 강남구 삼성동 영동대로112길 15,127.0616923,37.5155642
서울특별시 강남구 삼성동 봉은사로73길 23,127.0498761,37.5139819
서울특별시 강남구 삼성동 학동로64길 14,127.0446809,37.5167876
서울특별시 강남구 삼성동 테헤란로 423,127.0529875,37.5061651
서울특별시 강남구 삼성동 삼성로111길 8,127.051486,37.5138585
서울특별시 강남구 삼성동 선릉로 604,127.0439666,37.5109597
서울특별시 강남구 삼성동 영동대로128길 15,127.0608234,37.5192819
서울특별시 강남구 세곡동 헌릉로590길 11,127.10441,37.4637798
서울특별시 강남구 수서동 광평로34길 35,127.0950728,37.4812892
서울특별시 강남구 수서동 광평로19길 10,127.0876186,37.4847337
서울특별시 강남구 수서동 광평로39길 3,127.0965129,37.4853216
서울특별시 강남구 수서동 광평로31길 27,127.0906778,37.4848958
서울특별시 강남구 수서동 광평로51길 27,127.1009461,37.4891608
서울특별시 강남구 수서동 광평로47길 17,127.0984431,37.4870722
서울특별시 강남구 신사동 강남대로162길 41-8,127.021609,37.521466
서울특별시 강남구 신사동 압구정로2길 46,127.0206688,37.5187712
서울특별시 강남구 신사동 압구정로42길 36,127.0346238,37.5265537
서울특별시 강남구 신사동 압구정로18길 14-14,127.0236517,37.5235645
서울특별시 강남구 신사동 압구정로2길 20,127.0196205,37.5201287
서울특별시 강남구 신사동 도산대로35길 46,127.030717,37.5237472
서울특별시 강남구 신사동 압구정로42길 46,127.0343592,37.5260032
서울특별시 강남구 신사동 강남대로162길 27-26,127.0206634,37.5210577
서울특별시 강남구 신사동 압구정로34길 49,127.0307209,37.5248926
서울특별시 강남구 신사동 도산대로23길 18,127.026242,37.5202752
서울특별시 강남구 신사동 언주로167길 15,127.0319086,37.5262365
서울특별시 강남구 신사동 언주로164길 20,127.0351684,37.525322
서울특별시 강남구 신사동 논현로154길 12,127.0292413,37.5215156
서울특별시 강남구 신사동 압구정로48길 15,127.0372259,37.5274675
서울특별시 강남구 신사동 언주로167길 9,127.0324378,37.526127
서울특별시 강남구 신사동 논현로154길 11,127.0290696,37.5217633
서울특별시 강남구 신사동 논현로160길 20,127.0297285,37.5224855
서울특별시 강남구 신사동 언주로157길 23,127.0310073,37.5237887
서울특별시 강남구 신사동 논현로153길 42,127.0247266,37.5206625
서울특별시 강남구 신사동 압구정로18길 14-8,127.0240801,37.5238031
서울특별시 강남구 신사동 논현로159길 56,127.0237807,37.521843
서울특별시 강남구 신사동 논현로157길 29,127.025891,37.5219195
서울특별시 강남구 신사동 압구정로22길 29,127.0263007,37.5237571
서울특별시 강남구 압구정동 압구정로29길 51,127.0271176,37.5308859
서울특별시 강남구 압구정동 압구정로11길 17,127.0200948,37.5253059
서울특별시 강남구 압구정동 압구정로 113,127.0182545,37.5239465
서울특별시 강남구 압구정동 압구정로 151,127.0279389,37.5259213
서울특별시 강남구 압구정동 압구정로 321,127.0381668,37.5291557
서울특별시 강남구 압구정동 압구정로 347,127.0405008,37.5298214
서울특별시 강남구 압구정동 압구정로 313,127.0360519,37.5297933
서울특별시 강남구 압구정동 압구정로 401,127.0420751,37.5289381
서울특별시 강남구 압구정동 압구정로61길 37,127.0440633,37.5291262
서울특별시 강남구 압구정동 압구정로 403,127.0417608,37.5299672
서울특별시 강남구 압구정동 압구정로29길 69,127.0250737,37.5310917
서울특별시 강남구 압구정동 압구정로29길 23,127.0271205,37.5295113
서울특별시 강남구 압구정동 압구정로29길 57,127.0261369,37.5306247
서울특별시 강남구 압구정동 압구정로29길 71,127.0279257,37.5330263
서울특별시 강남구 압구정동 압구정로39길 58,127.0326596,37.5324477
서울특별시 강남구 압구정동 압구정로33길 70,127.0306547,37.532377
서울특별시 강남구 압구정동 압구정로29길 68,127.0285632,37.5319756
서울특별시 강남구 압구정동 압구정로 201,127.0308297,37.5296583
서울특별시 강남구 압구정동 압구정로 309,127.0354395,37.5312143
서울특별시 강남구 역삼동 테헤란로10길 25,127.0330128,37.4975789
서울특별시 강남구 역삼동 테헤란로10길 27,127.0330914,37.4974125
서울특별시 강남구 역삼동 선릉로69길 20,127.0498786,37.4987773
서울특별시 강남구 역삼동 논현로63길 16,127.0391173,37.4930012
서울특별시 강남구 역삼동 테헤란로10길 10,127.0322637,37.4984057
서울특별시 강남구 역삼동 언주로 406,127.0385419,37.5000776
서울특별시 강남구 역삼동 역삼로 315-1,127.0498681,37.5014126
서울특별시 강남구 역삼동 역삼로 306,127.0464187,37.4985708
서울특별시 강남구 역삼동 역삼로 314,127.0499795,37.4997212
서울특별시 강남구 역삼동 언주로63길 30,127.0437492,37.494265
서울특별시 강남구 역삼동 도곡로17길 12,127.0375263,37.4921938
서울특별시 강남구 역삼동 언주로85길 13,127.0423112,37.5005712
서울특별시 강남구 역삼동 논현로72길 32,127.0419688,37.4961539
서울특별시 강남구 역삼동 도곡로7길 22,127.0348905,37.4920842
서울특별시 강남구 역삼동 테헤란로28길 47,127.0400868,37.4981925
서울특별시 강남구 역삼동 역삼로19길 14,127.0373445,37.4960919
서울특별시 강남구 역삼동 도곡로19길 13,127.0377939,37.492568
서울특별시 강남구 역삼동 언주로 316,127.0463755,37.4962673
서울특별시 강남구 역삼동 역삼로25길 27,127.0391087,37.4979463
서울특별시 강남구 역삼동 언주로 427,127.0426891,37.5014561
서울특별시 강남구 역삼동 선릉로 423,127.0493601,37.5024375
서울특별시 강남구 역삼동 역삼로19길 25,127.0372484,37.497009
서울특별시 강남구 역삼동 역삼로 309,127.0475328,37.5006989
서울특별시 강남구 역삼동 테헤란로21길 18,127.0345317,37.5015207
서울특별시 강남구 역삼동 논현로105길 52,127.0300511,37.5054255
서울특별시 강남구 역삼동 역삼로 237,127.0423068,37.4976608
서울특별시 강남구 역삼동 논현로97길 74,127.0304756,37.5028013
서울특별시 강남구 역삼동 역삼로 171,127.0378621,37.4957049
서울특별시 강남구 역삼동 언주로 320,127.0460618,37.4965616
서울특별시 강남구 역삼동 언주로 322,127.0459688,37.4967597
서울특별시 강남구 역삼동 선릉로107길 24,127.0421462,37.5091643
서울특별시 강남구 역삼동 역삼로 240,127.042837,37.4973088
서울특별시 강남구 역삼동 역삼로 240-1,127.0429898,37.4970431
서울특별시 강남구 역삼동 도곡로23길 31,127.0387934,37.4941863
서울특별시 강남구 역삼동 테헤란로4길 46,127.030406,37.4953995
서울특별시 강남구 역삼동 언주로69길 31,127.0428283,37.4958341
서울특별시 강남구 역삼동 언주로104길 35,127.0429719,37.5079726
서울특별시 강남구 역삼동 역삼로 109,127.0310159,37.4936603
서울특별시 강남구 역삼동 역삼로 307,127.0457934,37.4993163
서울특별시 강남구 역삼동 선릉로69길 19,127.0500483,37.4975157
서울특별시 강남구 역삼동 언주로 420,127.0444842,37.500442
서울특별시 강남구 역삼동 언주로 332,127.0467808,37.497753
서울특별시 강남구 역삼동 언주로86길 11,127.0442424,37.5019556
서울특별시 강남구 역삼동 언주로86길 12,127.0449215,37.5014704
서울특별시 강남구 일원동 개포로110길 43,127.0793073,37.4912691
서울특별시 강남구 일원동 광평로10길 6,127.0775108,37.4818897
서울특별시 강남구 자곡동 자곡로 175,127.1014323,37.4746612
서울특별시 강남구 자곡동 자곡로 260,127.1126859,37.4758377
서울특별시 강남구 자곡동 자곡로 101,127.0940867,37.4741294
서울특별시 강남구 자곡동 밤고개로21길 25,127.1107649,37.4733895
서울특별시 강남구 청담동 도산대로96길 39,127.0505362,37.522419
서울특별시 강남구 청담동 도산대로89길 49,127.0522366,37.5274543
서울특별시 강남구 청담동 학동로 609,127.0585558,37.5215495
서울특별시 강남구 청담동 영동대로142길 25,127.0552177,37.5252409
서울특별시 강남구 청담동 영동대로138길 12,127.0571953,37.5236009
서울특별시 강남구 청담동 도산대로101길 29,127.0530712,37.526923
서울특별시 강동구 강일동 고덕로97길 20,127.1807611,37.5599694
서울특별시 강동구 강일동 아리수로93가길 25,127.1719925,37.5676629
서울특별시 강동구 강일동 아리수로97길 68,127.1762673,37.5693706
서울특별시 강동구 강일동 아리수로93길 40,127.1747157,37.5667207
서울특별시 강동구 강일동 아리수로97길 20,127.1781885,37.5676186
서울특별시 강동구 강일동 아리수로94길 19,127.1764946,37.5637808
서울특별시 강동구 강일동 아리수로98길 25,127.1789807,37.5647682
서울특별시 강동구 강일동 아리수로94길 72,127.1768781,37.5615237
서울특별시 강동구 강일동 고덕로97길 29,127.1788258,37.55985
서울특별시 강동구 강일동 상일로 152,127.1716648,37.5611803
서울특별시 강남구 일원동 광평로10길 15,127.0821324,37.482024
서울특별시 강동구 강일동 아리수로97길 19,127.1762976,37.5673035
서울특별시 강동구 강일동 고덕로 427,127.1730869,37.5595966
서울특별시 강남구 역삼동 논현로102길 4,127.0356279,37.5047071
서울특별시 강남구 역삼동 언주로103길 12,127.0390257,37.5067853
서울특별시 강남구 역삼동 테헤란로4길 32,127.0301706,37.4963039
서울특별시 강남구 역삼동 도곡로21길 15,127.0384286,37.492757
서울특별시 강남구 역삼동 언주로97길 22,127.0395266,37.5053283
서울특별시 강남구 역삼동 봉은사로 312,127.0413105,37.509171
서울특별시 강남구 역삼동 강남대로 324,127.0308845,37.4922198
서울특별시 강남구 역삼동 도곡로11길 13,127.0353315,37.4917844
서울특별시 강남구 역삼동 테헤란로13길 35-6,127.0311155,37.5020024
서울특별시 강남구 역삼동 테헤란로48길 10,127.0458481,37.5026817
서울특별시 강남구 역삼동 논현로70길 16,127.0411191,37.49526
서울특별시 강남구 역삼동 도곡로7길 23,127.0340262,37.4920492
서울특별시 강남구 역삼동 역삼로33길 13,127.0414192,37.4979942
서울특별시 강남구 역삼동 역삼로25길 21,127.0393023,37.4975381
서울특별시 강남구 역삼동 언주로90길 6,127.0437264,37.502197
서울특별시 강남구 역삼동 언주로90길 4,127.0435538,37.502144
서울특별시 강남구 역삼동 도곡로23길 32,127.0391717,37.4943932
서울특별시 강남구 역삼동 언주로86길 25,127.045021,37.5024872
서울특별시 강남구 역삼동 선릉로87길 14,127.0483369,37.5031195
서울특별시 강남구 역삼동 언주로70길 24,127.0476592,37.4971708
서울특별시 강남구 역삼동 테헤란로14길 13,127.0334825,37.4985274
서울특별시 강남구 역삼동 테헤란로14길 42,127.0340453,37.4965643
서울특별시 강남구 역삼동 역삼로19길 12,127.0373364,37.4958558
서울특별시 강남구 역삼동 언주로90길 8,127.0438901,37.5022555
서울특별시 강남구 역삼동 언주로86길 7,127.0439569,37.5017729
서울특별시 강남구 역삼동 테헤란로52길 16,127.0467285,37.5023526
